../Instances/CVRP/X-n143-k7.vrp;35;0;17409.6
../Instances/CVRP/X-n143-k7.vrp;35;0;16615.4
../Instances/CVRP/X-n143-k7.vrp;35;0;16372.9
../Instances/CVRP/X-n143-k7.vrp;35;24;16365.1
../Instances/CVRP/X-n143-k7.vrp;35;47;16289
../Instances/CVRP/X-n143-k7.vrp;35;50;16254.9
../Instances/CVRP/X-n143-k7.vrp;35;107;16195.9
../Instances/CVRP/X-n143-k7.vrp;35;155;16164.1
../Instances/CVRP/X-n143-k7.vrp;35;247;16153.4
../Instances/CVRP/X-n143-k7.vrp;35;512;16138.5
../Instances/CVRP/X-n143-k7.vrp;35;518;16120.1
../Instances/CVRP/X-n143-k7.vrp;35;556;16064.1
../Instances/CVRP/X-n143-k7.vrp;35;1163;15921.9
../Instances/CVRP/X-n143-k7.vrp;35;1880;15895.3
../Instances/CVRP/X-n143-k7.vrp;35;2837;15890.6
../Instances/CVRP/X-n143-k7.vrp;35;3097;15878.1
../Instances/CVRP/X-n143-k7.vrp;35;3386;15848.5
../Instances/CVRP/X-n143-k7.vrp;35;3434;15814.5
