../Instances/CVRP/X-n214-k11.vrp;35;0;12104.6
../Instances/CVRP/X-n214-k11.vrp;35;0;11611.8
../Instances/CVRP/X-n214-k11.vrp;35;0;11318.8
../Instances/CVRP/X-n214-k11.vrp;35;76;11300.2
../Instances/CVRP/X-n214-k11.vrp;35;103;11241.6
../Instances/CVRP/X-n214-k11.vrp;35;105;11227.8
../Instances/CVRP/X-n214-k11.vrp;35;358;11226.4
../Instances/CVRP/X-n214-k11.vrp;35;376;11194.2
../Instances/CVRP/X-n214-k11.vrp;35;568;11170.3
../Instances/CVRP/X-n214-k11.vrp;35;1041;11124.6
../Instances/CVRP/X-n214-k11.vrp;35;2337;11120.5
../Instances/CVRP/X-n214-k11.vrp;35;2805;11115.9
../Instances/CVRP/X-n214-k11.vrp;35;3068;11115
../Instances/CVRP/X-n214-k11.vrp;35;4905;11105.3
../Instances/CVRP/X-n214-k11.vrp;35;5298;11094.7
../Instances/CVRP/X-n214-k11.vrp;35;6809;11068.8
../Instances/CVRP/X-n214-k11.vrp;35;7908;11065.4
../Instances/CVRP/X-n214-k11.vrp;35;9697;11062.5
